x y1 y2 y3 y4 y5 y dy1 dy2 dy3 dy4 dy5 dy
5.900000 0.408393 0.167108 0.054333 0.010623 0.000554 0.128202 -0.027373 -0.027532 -0.017417 -0.006460 -0.000729 -0.015902
6.000000 0.405688 0.164399 0.052632 0.010000 0.000486 0.126641 -0.026749 -0.026659 -0.016620 -0.006000 -0.000633 -0.015332
6.100000 0.403043 0.161775 0.051007 0.009421 0.000426 0.125135 -0.026148 -0.025826 -0.015871 -0.005578 -0.000551 -0.014795
6.200000 0.400457 0.159232 0.049456 0.008883 0.000375 0.123681 -0.025570 -0.025031 -0.015165 -0.005191 -0.000480 -0.014287
6.300000 0.397928 0.156768 0.047973 0.008382 0.000330 0.122276 -0.025013 -0.024272 -0.014499 -0.004835 -0.000419 -0.013808
6.400000 0.395454 0.154377 0.046555 0.007915 0.000291 0.120918 -0.024477 -0.023547 -0.013871 -0.004507 -0.000365 -0.013353
6.500000 0.393032 0.152057 0.045198 0.007480 0.000257 0.119605 -0.023960 -0.022853 -0.013278 -0.004205 -0.000319 -0.012923
6.600000 0.390661 0.149805 0.043898 0.007074 0.000227 0.118333 -0.023461 -0.022188 -0.012719 -0.003926 -0.000280 -0.012515
6.700000 0.388339 0.147619 0.042653 0.006694 0.000201 0.117101 -0.022980 -0.021553 -0.012189 -0.003669 -0.000245 -0.012127
6.800000 0.386065 0.145494 0.041459 0.006339 0.000178 0.115907 -0.022515 -0.020943 -0.011688 -0.003432 -0.000215 -0.011759
6.900000 0.383836 0.143429 0.040314 0.006007 0.000158 0.114749 -0.022066 -0.020359 -0.011214 -0.003212 -0.000189 -0.011408
7.000000 0.381651 0.141421 0.039216 0.005696 0.000140 0.113625 -0.021632 -0.019799 -0.010765 -0.003009 -0.000166 -0.011074
7.100000 0.379509 0.139469 0.038161 0.005405 0.000124 0.112533 -0.021212 -0.019261 -0.010339 -0.002821 -0.000146 -0.010756
7.200000 0.377408 0.137568 0.037147 0.005131 0.000111 0.111473 -0.020807 -0.018745 -0.009935 -0.002647 -0.000129 -0.010452
7.300000 0.375347 0.135719 0.036173 0.004875 0.000098 0.110442 -0.020414 -0.018249 -0.009552 -0.002485 -0.000114 -0.010163
7.400000 0.373325 0.133918 0.035236 0.004634 0.000088 0.109440 -0.020033 -0.017772 -0.009188 -0.002334 -0.000100 -0.009886
7.500000 0.371340 0.132164 0.034335 0.004408 0.000078 0.108465 -0.019665 -0.017314 -0.008842 -0.002195 -0.000089 -0.009621
7.600000 0.369392 0.130455 0.033467 0.004195 0.000070 0.107516 -0.019308 -0.016873 -0.008512 -0.002065 -0.000079 -0.009367
7.700000 0.367478 0.128789 0.032632 0.003994 0.000063 0.106591 -0.018962 -0.016448 -0.008199 -0.001944 -0.000070 -0.009125
7.800000 0.365599 0.127164 0.031827 0.003806 0.000056 0.105690 -0.018626 -0.016039 -0.007901 -0.001831 -0.000062 -0.008892
7.900000 0.363753 0.125580 0.031051 0.003628 0.000050 0.104812 -0.018301 -0.015646 -0.007617 -0.001726 -0.000055 -0.008669
8.000000 0.361939 0.124035 0.030303 0.003460 0.000045 0.103956 -0.017985 -0.015266 -0.007346 -0.001628 -0.000049 -0.008455
8.100000 0.360156 0.122527 0.029581 0.003302 0.000040 0.103121 -0.017678 -0.014900 -0.007088 -0.001537 -0.000043 -0.008249
8.200000 0.358403 0.121054 0.028885 0.003153 0.000036 0.102306 -0.017380 -0.014546 -0.006842 -0.001452 -0.000039 -0.008052
8.300000 0.356679 0.119617 0.028213 0.003012 0.000033 0.101511 -0.017090 -0.014205 -0.006606 -0.001372 -0.000034 -0.007862
